P_W,v_mms,E_Jcm2,co_ratio,sigma_Sm,ssa_m2g,id_ig,source,sample_id,date,arxiv_id,doi,precursor,laser_type,wavelength_um,atmosphere,temperature_C,raman_id_ig,method,uncertainty,notes
0.1,50.0,0.2,3.3,150.0,300.0,0.5,existing,,,,,,,,,,,,,
0.15,60.0,0.25,2.5,300.0,250.0,0.6,existing,,,,,,,,,,,,,
0.15,40.0,0.3749999999999999,3.3,450.0,380.0,0.7,existing,,,,,,,,,,,,,
0.2,40.0,0.5,3.3,800.0,450.0,0.8,existing,,,,,,,,,,,,,
0.2,30.0,0.6666666666666667,0.9,550.0,800.0,0.9,existing,,,,,,,,,,,,,
0.22,35.0,0.6285714285714286,3.3,950.0,500.0,0.85,existing,,,,,,,,,,,,,
0.25,50.0,0.5,0.9,600.0,900.0,0.9,existing,,,,,,,,,,,,,
0.25,30.0,0.8333333333333334,2.5,1100.0,400.0,1.0,existing,,,,,,,,,,,,,
0.25,25.0,1.0,3.3,1500.0,550.0,0.95,existing,,,,,,,,,,,,,
0.28,35.0,0.8,3.3,1800.0,580.0,1.0,existing,,,,,,,,,,,,,
0.3,50.0,0.6,3.3,1600.0,520.0,0.9,existing,,,,,,,,,,,,,
0.3,40.0,0.7499999999999999,0.9,1400.0,1100.0,1.1,existing,,,,,,,,,,,,,
0.3,30.0,1.0,3.3,2500.0,600.0,1.0,existing,,,,,,,,,,,,,
0.3,30.0,1.0,2.5,1200.0,350.0,1.1,existing,,,,,,,,,,,,,
0.3,30.0,1.0,0.9,1800.0,1200.0,1.3,existing,,,,,,,,,,,,,
0.3,20.0,1.4999999999999998,3.3,3200.0,480.0,1.3,existing,,,,,,,,,,,,,
0.32,35.0,0.9142857142857144,3.3,2200.0,620.0,1.05,existing,,,,,,,,,,,,,
0.33,30.0,1.1,3.3,2800.0,580.0,1.1,existing,,,,,,,,,,,,,
0.35,40.0,0.8749999999999999,3.3,2400.0,540.0,1.0,existing,,,,,,,,,,,,,
0.35,25.0,1.4,3.3,4500.0,550.0,1.2,existing,,,,,,,,,,,,,
0.35,20.0,1.7499999999999998,0.9,2800.0,950.0,1.5,existing,,,,,,,,,,,,,
0.38,30.0,1.2666666666666668,3.3,3800.0,500.0,1.3,existing,,,,,,,,,,,,,
0.4,30.0,1.3333333333333337,3.3,4000.0,450.0,1.4,existing,,,,,,,,,,,,,
0.4,20.0,2.0,3.3,3500.0,400.0,1.5,existing,,,,,,,,,,,,,
0.4,15.0,2.666666666666667,3.3,2800.0,300.0,1.8,existing,,,,,,,,,,,,,
0.45,25.0,1.8,3.3,4200.0,420.0,1.4,existing,,,,,,,,,,,,,
0.5,20.0,2.5,3.3,3800.0,350.0,1.7,existing,,,,,,,,,,,,,
0.5,15.0,3.333333333333333,0.9,2500.0,600.0,2.0,existing,,,,,,,,,,,,,
0.6,20.0,3.0,3.3,3200.0,280.0,1.9,existing,,,,,,,,,,,,,
0.8,15.0,5.333333333333334,3.3,1500.0,200.0,2.5,existing,,,,,,,,,,,,,
0.12,45.0,0.2666666666666666,3.3,50.0,973.0112870763988,0.5664570302269569,lit,,,,,,,,,,,,,
0.18,55.0,0.3272727272727272,3.3,50.0,959.3163128417564,0.5266463597397951,lit,,,,,,,,,,,,,
0.23,42.0,0.5476190476190477,3.3,74.50741103535846,1068.6015545185742,0.5391554490242513,lit,,,,,,,,,,,,,
0.27,38.0,0.7105263157894737,3.3,84.51869735309334,918.1751002277996,0.5580057112647302,lit,,,,,,,,,,,,,
0.31,32.0,0.96875,3.3,110.43011568456332,741.4967126515162,0.5099519385713843,lit,,,,,,,,,,,,,
0.34,28.0,1.2142857142857142,3.3,122.30559628913622,837.4735618402085,0.6660056849047234,lit,,,,,,,,,,,,,
0.37,24.0,1.5416666666666667,3.3,146.48547091226254,781.8519528976914,0.7853969406711265,lit,,,,,,,,,,,,,
0.42,22.0,1.909090909090909,3.3,202.8880465346741,935.8184434654988,0.6252138140597097,lit,,,,,,,,,,,,,
0.48,18.0,2.6666666666666665,3.3,269.3804934542253,914.287007776425,0.725618526651371,lit,,,,,,,,,,,,,
0.55,16.0,3.4375,3.3,783.8759189346043,813.8979023781482,0.8858829453313635,lit,,,,,,,,,,,,,
0.14,48.0,0.2916666666666667,2.5,50.0,1438.308682536889,0.5342778984765205,lit,,,,,,,,,,,,,
0.19,52.0,0.3653846153846153,2.5,50.0,1288.716341557125,0.4774510414977298,lit,,,,,,,,,,,,,
0.26,36.0,0.7222222222222223,2.5,62.07075930675591,883.2139096670595,0.5087464184646254,lit,,,,,,,,,,,,,
0.29,33.0,0.8787878787878787,2.5,75.39481408088555,1248.5696387556288,0.6158301159338655,lit,,,,,,,,,,,,,
0.36,27.0,1.3333333333333333,2.5,109.18363973797378,1084.002278781445,0.5624175486357498,lit,,,,,,,,,,,,,
0.41,23.0,1.7826086956521738,2.5,132.51071782019037,1042.2715904704075,0.7893823780631068,lit,,,,,,,,,,,,,
0.46,19.0,2.421052631578948,2.5,212.15336051764208,846.7410038892435,0.8161460064226833,lit,,,,,,,,,,,,,
0.52,17.0,3.0588235294117645,2.5,336.8353947673271,960.9379836614482,0.9200947558677316,lit,,,,,,,,,,,,,
0.65,25.0,2.6,0.9,90.06269441320264,2501.318915820268,0.7438555371143218,lit,,,,,,,,,,,,,
0.75,20.0,3.75,0.9,59.972484198281066,2197.371257486386,1.042676787076624,lit,,,,,,,,,,,,,
0.16,46.0,0.3478260869565217,3.3,50.0,964.2743538558158,0.4818046357560213,lit,,,,,,,,,,,,,
0.21,41.0,0.5121951219512194,3.3,50.0,1075.3972344044157,0.6376113303846349,lit,,,,,,,,,,,,,
0.24,37.0,0.6486486486486487,0.9,50.0,2808.782400890497,0.5987345357176173,lit,,,,,,,,,,,,,
0.32,31.0,1.032258064516129,0.9,50.0,2560.104578731102,0.7198246038562963,lit,,,,,,,,,,,,,
0.39,26.0,1.5,3.3,164.1133055320287,1119.9392113491103,0.5018573329218973,lit,,,,,,,,,,,,,
0.44,21.0,2.095238095238096,2.5,196.12919257490668,1100.1230416367584,0.7289603048078506,lit,,,,,,,,,,,,,
0.58,29.0,2.0,0.9,60.82584698881951,1770.7586310657289,0.7237442803000241,lit,,,,,,,,,,,,,
0.7,24.0,2.9166666666666665,3.3,338.0193758373361,1052.519215163256,0.80594703144674,lit,,,,,,,,,,,,,
0.85,18.0,4.722222222222222,0.9,78.09149178455831,1885.059979684013,1.1643095592215544,lit,,,,,,,,,,,,,
0.95,14.0,6.785714285714285,3.3,2159.5922602312253,731.9755439464981,1.3817437197806122,lit,,,,,,,,,,,,,
0.11,47.0,0.2340425531914893,3.3,50.0,1105.8686183817804,0.4910107281063066,lit,,,,,,,,,,,,,
0.17,43.0,0.3953488372093023,2.5,50.0,1116.2804922169455,0.4673229258627208,lit,,,,,,,,,,,,,
0.28,35.0,0.8,3.3,91.9087876572524,999.1888066051998,0.5963047620158907,lit,,,,,,,,,,,,,
